| Split | Metric                      | Min.     | Epoch    | Max.     | Epoch    |
|-------|-----------------------------|----------|----------|----------|----------|
| Train | Accuracy                    | 56.120   | 1        | 99.991   | 32       |
| Train | Loss                        | 0.042    | 35       | 0.690    | 1        |
| Train | Precision @ TopK(1) [Macro] | 55.899   | 1        | 99.991   | 32       |
| Train | Sharpe Ratio                | 0.050    | 1        | 1.039    | 35       |
| Valid | Accuracy                    | 56.831   | 1        | 80.516   | 31       |
| Valid | Loss                        | 0.683    | 1        | 0.994    | 33       |
| Valid | Precision @ TopK(1) [Macro] | 57.699   | 1        | 80.505   | 31       |
| Valid | Sharpe Ratio                | 0.097    | 1        | 0.673    | 25       |
