ticker,start,end
NVDA,02.01.2018,14.03.2018
AMD,02.01.2018,14.03.2018
TSM,02.01.2018,14.03.2018
INTC,02.01.2018,14.03.2018
AVGO,02.01.2018,14.03.2018
QQQ,02.01.2018,14.03.2018
NVDA,07.02.2018,19.04.2018
AMD,07.02.2018,19.04.2018
TSM,07.02.2018,19.04.2018
INTC,07.02.2018,19.04.2018
AVGO,07.02.2018,19.04.2018
QQQ,07.02.2018,19.04.2018
NVDA,15.03.2018,24.05.2018
AMD,15.03.2018,24.05.2018
TSM,15.03.2018,24.05.2018
INTC,15.03.2018,24.05.2018
AVGO,15.03.2018,24.05.2018
QQQ,15.03.2018,24.05.2018
NVDA,20.04.2018,29.06.2018
AMD,20.04.2018,29.06.2018
TSM,20.04.2018,29.06.2018
INTC,20.04.2018,29.06.2018
AVGO,20.04.2018,29.06.2018
QQQ,20.04.2018,29.06.2018
NVDA,25.05.2018,06.08.2018
AMD,25.05.2018,06.08.2018
TSM,25.05.2018,06.08.2018
INTC,25.05.2018,06.08.2018
AVGO,25.05.2018,06.08.2018
QQQ,25.05.2018,06.08.2018
NVDA,02.07.2018,11.09.2018
AMD,02.07.2018,11.09.2018
TSM,02.07.2018,11.09.2018
INTC,02.07.2018,11.09.2018
AVGO,02.07.2018,11.09.2018
QQQ,02.07.2018,11.09.2018
NVDA,07.08.2018,16.10.2018
AMD,07.08.2018,16.10.2018
TSM,07.08.2018,16.10.2018
INTC,07.08.2018,16.10.2018
AVGO,07.08.2018,16.10.2018
QQQ,07.08.2018,16.10.2018
NVDA,12.09.2018,20.11.2018
AMD,12.09.2018,20.11.2018
TSM,12.09.2018,20.11.2018
INTC,12.09.2018,20.11.2018
AVGO,12.09.2018,20.11.2018
QQQ,12.09.2018,20.11.2018
NVDA,17.10.2018,27.12.2018
AMD,17.10.2018,27.12.2018
TSM,17.10.2018,27.12.2018
INTC,17.10.2018,27.12.2018
AVGO,17.10.2018,27.12.2018
QQQ,17.10.2018,27.12.2018
NVDA,21.11.2018,04.02.2019
AMD,21.11.2018,04.02.2019
TSM,21.11.2018,04.02.2019
INTC,21.11.2018,04.02.2019
AVGO,21.11.2018,04.02.2019
QQQ,21.11.2018,04.02.2019
NVDA,28.12.2018,12.03.2019
AMD,28.12.2018,12.03.2019
TSM,28.12.2018,12.03.2019
INTC,28.12.2018,12.03.2019
AVGO,28.12.2018,12.03.2019
QQQ,28.12.2018,12.03.2019
NVDA,05.02.2019,16.04.2019
AMD,05.02.2019,16.04.2019
TSM,05.02.2019,16.04.2019
INTC,05.02.2019,16.04.2019
AVGO,05.02.2019,16.04.2019
QQQ,05.02.2019,16.04.2019
NVDA,13.03.2019,22.05.2019
AMD,13.03.2019,22.05.2019
TSM,13.03.2019,22.05.2019
INTC,13.03.2019,22.05.2019
AVGO,13.03.2019,22.05.2019
QQQ,13.03.2019,22.05.2019
NVDA,17.04.2019,27.06.2019
AMD,17.04.2019,27.06.2019
TSM,17.04.2019,27.06.2019
INTC,17.04.2019,27.06.2019
AVGO,17.04.2019,27.06.2019
QQQ,17.04.2019,27.06.2019
NVDA,23.05.2019,02.08.2019
AMD,23.05.2019,02.08.2019
TSM,23.05.2019,02.08.2019
INTC,23.05.2019,02.08.2019
AVGO,23.05.2019,02.08.2019
QQQ,23.05.2019,02.08.2019
NVDA,28.06.2019,09.09.2019
AMD,28.06.2019,09.09.2019
TSM,28.06.2019,09.09.2019
INTC,28.06.2019,09.09.2019
AVGO,28.06.2019,09.09.2019
QQQ,28.06.2019,09.09.2019
NVDA,05.08.2019,14.10.2019
AMD,05.08.2019,14.10.2019
TSM,05.08.2019,14.10.2019
INTC,05.08.2019,14.10.2019
AVGO,05.08.2019,14.10.2019
