ticker,start,end
QQQ,05.08.2019,14.10.2019
NVDA,10.09.2019,18.11.2019
AMD,10.09.2019,18.11.2019
TSM,10.09.2019,18.11.2019
INTC,10.09.2019,18.11.2019
AVGO,10.09.2019,18.11.2019
QQQ,10.09.2019,18.11.2019
NVDA,15.10.2019,24.12.2019
AMD,15.10.2019,24.12.2019
TSM,15.10.2019,24.12.2019
INTC,15.10.2019,24.12.2019
AVGO,15.10.2019,24.12.2019
QQQ,15.10.2019,24.12.2019
NVDA,19.11.2019,31.01.2020
AMD,19.11.2019,31.01.2020
TSM,19.11.2019,31.01.2020
INTC,19.11.2019,31.01.2020
AVGO,19.11.2019,31.01.2020
QQQ,19.11.2019,31.01.2020
NVDA,26.12.2019,09.03.2020
AMD,26.12.2019,09.03.2020
TSM,26.12.2019,09.03.2020
INTC,26.12.2019,09.03.2020
AVGO,26.12.2019,09.03.2020
QQQ,26.12.2019,09.03.2020
NVDA,03.02.2020,14.04.2020
AMD,03.02.2020,14.04.2020
TSM,03.02.2020,14.04.2020
INTC,03.02.2020,14.04.2020
AVGO,03.02.2020,14.04.2020
QQQ,03.02.2020,14.04.2020
NVDA,10.03.2020,19.05.2020
AMD,10.03.2020,19.05.2020
TSM,10.03.2020,19.05.2020
INTC,10.03.2020,19.05.2020
AVGO,10.03.2020,19.05.2020
QQQ,10.03.2020,19.05.2020
NVDA,15.04.2020,24.06.2020
AMD,15.04.2020,24.06.2020
TSM,15.04.2020,24.06.2020
INTC,15.04.2020,24.06.2020
AVGO,15.04.2020,24.06.2020
QQQ,15.04.2020,24.06.2020
NVDA,20.05.2020,30.07.2020
AMD,20.05.2020,30.07.2020
TSM,20.05.2020,30.07.2020
INTC,20.05.2020,30.07.2020
AVGO,20.05.2020,30.07.2020
QQQ,20.05.2020,30.07.2020
NVDA,25.06.2020,03.09.2020
AMD,25.06.2020,03.09.2020
TSM,25.06.2020,03.09.2020
INTC,25.06.2020,03.09.2020
AVGO,25.06.2020,03.09.2020
QQQ,25.06.2020,03.09.2020
NVDA,31.07.2020,09.10.2020
AMD,31.07.2020,09.10.2020
TSM,31.07.2020,09.10.2020
INTC,31.07.2020,09.10.2020
AVGO,31.07.2020,09.10.2020
QQQ,31.07.2020,09.10.2020
NVDA,04.09.2020,13.11.2020
AMD,04.09.2020,13.11.2020
TSM,04.09.2020,13.11.2020
INTC,04.09.2020,13.11.2020
AVGO,04.09.2020,13.11.2020
QQQ,04.09.2020,13.11.2020
NVDA,12.10.2020,21.12.2020
AMD,12.10.2020,21.12.2020
TSM,12.10.2020,21.12.2020
INTC,12.10.2020,21.12.2020
AVGO,12.10.2020,21.12.2020
QQQ,12.10.2020,21.12.2020
NVDA,16.11.2020,28.01.2021
AMD,16.11.2020,28.01.2021
TSM,16.11.2020,28.01.2021
INTC,16.11.2020,28.01.2021
AVGO,16.11.2020,28.01.2021
QQQ,16.11.2020,28.01.2021
NVDA,22.12.2020,05.03.2021
AMD,22.12.2020,05.03.2021
TSM,22.12.2020,05.03.2021
INTC,22.12.2020,05.03.2021
AVGO,22.12.2020,05.03.2021
QQQ,22.12.2020,05.03.2021
NVDA,29.01.2021,12.04.2021
AMD,29.01.2021,12.04.2021
TSM,29.01.2021,12.04.2021
INTC,29.01.2021,12.04.2021
AVGO,29.01.2021,12.04.2021
QQQ,29.01.2021,12.04.2021
NVDA,08.03.2021,17.05.2021
AMD,08.03.2021,17.05.2021
TSM,08.03.2021,17.05.2021
INTC,08.03.2021,17.05.2021
AVGO,08.03.2021,17.05.2021
QQQ,08.03.2021,17.05.2021
NVDA,13.04.2021,23.06.2021
AMD,13.04.2021,23.06.2021
TSM,13.04.2021,23.06.2021
INTC,13.04.2021,23.06.2021
AVGO,13.04.2021,23.06.2021
QQQ,13.04.2021,23.06.2021
NVDA,18.05.2021,29.07.2021
AMD,18.05.2021,29.07.2021
TSM,18.05.2021,29.07.2021
INTC,18.05.2021,29.07.2021
AVGO,18.05.2021,29.07.2021
QQQ,18.05.2021,29.07.2021
NVDA,24.06.2021,02.09.2021
AMD,24.06.2021,02.09.2021
TSM,24.06.2021,02.09.2021
INTC,24.06.2021,02.09.2021
AVGO,24.06.2021,02.09.2021
QQQ,24.06.2021,02.09.2021
NVDA,30.07.2021,08.10.2021
AMD,30.07.2021,08.10.2021
TSM,30.07.2021,08.10.2021
INTC,30.07.2021,08.10.2021
AVGO,30.07.2021,08.10.2021
QQQ,30.07.2021,08.10.2021
NVDA,03.09.2021,12.11.2021
AMD,03.09.2021,12.11.2021
TSM,03.09.2021,12.11.2021
INTC,03.09.2021,12.11.2021
AVGO,03.09.2021,12.11.2021
QQQ,03.09.2021,12.11.2021
NVDA,11.10.2021,20.12.2021
AMD,11.10.2021,20.12.2021
TSM,11.10.2021,20.12.2021
INTC,11.10.2021,20.12.2021
AVGO,11.10.2021,20.12.2021
QQQ,11.10.2021,20.12.2021
NVDA,15.11.2021,27.01.2022
AMD,15.11.2021,27.01.2022
TSM,15.11.2021,27.01.2022
INTC,15.11.2021,27.01.2022
AVGO,15.11.2021,27.01.2022
QQQ,15.11.2021,27.01.2022
NVDA,21.12.2021,04.03.2022
AMD,21.12.2021,04.03.2022
TSM,21.12.2021,04.03.2022
INTC,21.12.2021,04.03.2022
AVGO,21.12.2021,04.03.2022
QQQ,21.12.2021,04.03.2022
NVDA,28.01.2022,08.04.2022
AMD,28.01.2022,08.04.2022
TSM,28.01.2022,08.04.2022
INTC,28.01.2022,08.04.2022
AVGO,28.01.2022,08.04.2022
QQQ,28.01.2022,08.04.2022
NVDA,07.03.2022,16.05.2022
AMD,07.03.2022,16.05.2022
TSM,07.03.2022,16.05.2022
INTC,07.03.2022,16.05.2022
AVGO,07.03.2022,16.05.2022
QQQ,07.03.2022,16.05.2022
NVDA,11.04.2022,22.06.2022
AMD,11.04.2022,22.06.2022
TSM,11.04.2022,22.06.2022
INTC,11.04.2022,22.06.2022
AVGO,11.04.2022,22.06.2022
QQQ,11.04.2022,22.06.2022
NVDA,17.05.2022,28.07.2022
AMD,17.05.2022,28.07.2022
TSM,17.05.2022,28.07.2022
INTC,17.05.2022,28.07.2022
AVGO,17.05.2022,28.07.2022
QQQ,17.05.2022,28.07.2022
NVDA,23.06.2022,01.09.2022
AMD,23.06.2022,01.09.2022
TSM,23.06.2022,01.09.2022
INTC,23.06.2022,01.09.2022
AVGO,23.06.2022,01.09.2022
QQQ,23.06.2022,01.09.2022
NVDA,29.07.2022,07.10.2022
AMD,29.07.2022,07.10.2022
TSM,29.07.2022,07.10.2022
INTC,29.07.2022,07.10.2022
AVGO,29.07.2022,07.10.2022
QQQ,29.07.2022,07.10.2022
NVDA,02.09.2022,11.11.2022
AMD,02.09.2022,11.11.2022
TSM,02.09.2022,11.11.2022
INTC,02.09.2022,11.11.2022
AVGO,02.09.2022,11.11.2022
QQQ,02.09.2022,11.11.2022
NVDA,10.10.2022,19.12.2022
AMD,10.10.2022,19.12.2022
TSM,10.10.2022,19.12.2022
INTC,10.10.2022,19.12.2022
AVGO,10.10.2022,19.12.2022
QQQ,10.10.2022,19.12.2022
NVDA,14.11.2022,26.01.2023
AMD,14.11.2022,26.01.2023
TSM,14.11.2022,26.01.2023
INTC,14.11.2022,26.01.2023
AVGO,14.11.2022,26.01.2023
QQQ,14.11.2022,26.01.2023
NVDA,20.12.2022,03.03.2023
AMD,20.12.2022,03.03.2023
TSM,20.12.2022,03.03.2023
INTC,20.12.2022,03.03.2023
AVGO,20.12.2022,03.03.2023
QQQ,20.12.2022,03.03.2023
NVDA,27.01.2023,10.04.2023
AMD,27.01.2023,10.04.2023
TSM,27.01.2023,10.04.2023
INTC,27.01.2023,10.04.2023
AVGO,27.01.2023,10.04.2023
QQQ,27.01.2023,10.04.2023
NVDA,06.03.2023,15.05.2023
AMD,06.03.2023,15.05.2023
TSM,06.03.2023,15.05.2023
INTC,06.03.2023,15.05.2023
AVGO,06.03.2023,15.05.2023
QQQ,06.03.2023,15.05.2023
NVDA,11.04.2023,21.06.2023
AMD,11.04.2023,21.06.2023
TSM,11.04.2023,21.06.2023
INTC,11.04.2023,21.06.2023
AVGO,11.04.2023,21.06.2023
QQQ,11.04.2023,21.06.2023
NVDA,16.05.2023,27.07.2023
AMD,16.05.2023,27.07.2023
TSM,16.05.2023,27.07.2023
INTC,16.05.2023,27.07.2023
AVGO,16.05.2023,27.07.2023
QQQ,16.05.2023,27.07.2023
NVDA,22.06.2023,31.08.2023
AMD,22.06.2023,31.08.2023
TSM,22.06.2023,31.08.2023
INTC,22.06.2023,31.08.2023
AVGO,22.06.2023,31.08.2023
QQQ,22.06.2023,31.08.2023
NVDA,28.07.2023,06.10.2023
AMD,28.07.2023,06.10.2023
TSM,28.07.2023,06.10.2023
INTC,28.07.2023,06.10.2023
AVGO,28.07.2023,06.10.2023
QQQ,28.07.2023,06.10.2023
NVDA,01.09.2023,10.11.2023
AMD,01.09.2023,10.11.2023
TSM,01.09.2023,10.11.2023
INTC,01.09.2023,10.11.2023
AVGO,01.09.2023,10.11.2023
QQQ,01.09.2023,10.11.2023
NVDA,09.10.2023,18.12.2023
AMD,09.10.2023,18.12.2023
TSM,09.10.2023,18.12.2023
INTC,09.10.2023,18.12.2023
AVGO,09.10.2023,18.12.2023
QQQ,09.10.2023,18.12.2023
NVDA,13.11.2023,25.01.2024
AMD,13.11.2023,25.01.2024
TSM,13.11.2023,25.01.2024
INTC,13.11.2023,25.01.2024
AVGO,13.11.2023,25.01.2024
QQQ,13.11.2023,25.01.2024
NVDA,19.12.2023,01.03.2024
AMD,19.12.2023,01.03.2024
TSM,19.12.2023,01.03.2024
INTC,19.12.2023,01.03.2024
AVGO,19.12.2023,01.03.2024
QQQ,19.12.2023,01.03.2024
NVDA,26.01.2024,08.04.2024
AMD,26.01.2024,08.04.2024
TSM,26.01.2024,08.04.2024
INTC,26.01.2024,08.04.2024
AVGO,26.01.2024,08.04.2024
QQQ,26.01.2024,08.04.2024
NVDA,04.03.2024,13.05.2024
AMD,04.03.2024,13.05.2024
TSM,04.03.2024,13.05.2024
INTC,04.03.2024,13.05.2024
AVGO,04.03.2024,13.05.2024
QQQ,04.03.2024,13.05.2024
NVDA,09.04.2024,18.06.2024
AMD,09.04.2024,18.06.2024
TSM,09.04.2024,18.06.2024
INTC,09.04.2024,18.06.2024
AVGO,09.04.2024,18.06.2024
QQQ,09.04.2024,18.06.2024
NVDA,14.05.2024,25.07.2024
AMD,14.05.2024,25.07.2024
TSM,14.05.2024,25.07.2024
INTC,14.05.2024,25.07.2024
AVGO,14.05.2024,25.07.2024
QQQ,14.05.2024,25.07.2024
NVDA,20.06.2024,29.08.2024
AMD,20.06.2024,29.08.2024
TSM,20.06.2024,29.08.2024
INTC,20.06.2024,29.08.2024
AVGO,20.06.2024,29.08.2024
QQQ,20.06.2024,29.08.2024
NVDA,26.07.2024,04.10.2024
AMD,26.07.2024,04.10.2024
TSM,26.07.2024,04.10.2024
INTC,26.07.2024,04.10.2024
AVGO,26.07.2024,04.10.2024
QQQ,26.07.2024,04.10.2024
NVDA,30.08.2024,08.11.2024
AMD,30.08.2024,08.11.2024
TSM,30.08.2024,08.11.2024
INTC,30.08.2024,08.11.2024
AVGO,30.08.2024,08.11.2024
QQQ,30.08.2024,08.11.2024
NVDA,07.10.2024,16.12.2024
AMD,07.10.2024,16.12.2024
TSM,07.10.2024,16.12.2024
INTC,07.10.2024,16.12.2024
AVGO,07.10.2024,16.12.2024
QQQ,07.10.2024,16.12.2024
NVDA,11.11.2024,23.01.2025
AMD,11.11.2024,23.01.2025
TSM,11.11.2024,23.01.2025
INTC,11.11.2024,23.01.2025
AVGO,11.11.2024,23.01.2025
QQQ,11.11.2024,23.01.2025
NVDA,17.12.2024,28.02.2025
AMD,17.12.2024,28.02.2025
TSM,17.12.2024,28.02.2025
INTC,17.12.2024,28.02.2025
AVGO,17.12.2024,28.02.2025
QQQ,17.12.2024,28.02.2025
NVDA,24.01.2025,04.04.2025
AMD,24.01.2025,04.04.2025
TSM,24.01.2025,04.04.2025
INTC,24.01.2025,04.04.2025
AVGO,24.01.2025,04.04.2025
QQQ,24.01.2025,04.04.2025
NVDA,03.03.2025,12.05.2025
AMD,03.03.2025,12.05.2025
TSM,03.03.2025,12.05.2025
INTC,03.03.2025,12.05.2025
AVGO,03.03.2025,12.05.2025
QQQ,03.03.2025,12.05.2025
NVDA,07.04.2025,17.06.2025
AMD,07.04.2025,17.06.2025
TSM,07.04.2025,17.06.2025
INTC,07.04.2025,17.06.2025
AVGO,07.04.2025,17.06.2025
QQQ,07.04.2025,17.06.2025
NVDA,13.05.2025,24.07.2025
AMD,13.05.2025,24.07.2025
TSM,13.05.2025,24.07.2025
INTC,13.05.2025,24.07.2025
AVGO,13.05.2025,24.07.2025
QQQ,13.05.2025,24.07.2025
NVDA,18.06.2025,28.08.2025
AMD,18.06.2025,28.08.2025
TSM,18.06.2025,28.08.2025
INTC,18.06.2025,28.08.2025
AVGO,18.06.2025,28.08.2025
QQQ,18.06.2025,28.08.2025
NVDA,25.07.2025,03.10.2025
AMD,25.07.2025,03.10.2025
TSM,25.07.2025,03.10.2025
INTC,25.07.2025,03.10.2025
AVGO,25.07.2025,03.10.2025
QQQ,25.07.2025,03.10.2025
NVDA,29.08.2025,07.11.2025
AMD,29.08.2025,07.11.2025
TSM,29.08.2025,07.11.2025
INTC,29.08.2025,07.11.2025
AVGO,29.08.2025,07.11.2025
QQQ,29.08.2025,07.11.2025
NVDA,06.10.2025,15.12.2025
AMD,06.10.2025,15.12.2025
TSM,06.10.2025,15.12.2025
INTC,06.10.2025,15.12.2025
AVGO,06.10.2025,15.12.2025
QQQ,06.10.2025,15.12.2025
NVDA,10.11.2025,22.01.2026
AMD,10.11.2025,22.01.2026
TSM,10.11.2025,22.01.2026
INTC,10.11.2025,22.01.2026
AVGO,10.11.2025,22.01.2026
QQQ,10.11.2025,22.01.2026
